Check,URL,Item,Item_JP
,(All Public APIs),"No authentication required for: POST /api/login, POST /api/register, GET /api/albums, GET /api/albums/{album_id}, GET /api/albums/{album_id}/cover, GET /api/albums/{album_id}/songs, GET /api/songs, GET /api/songs/{song_id}/cover","認証不要の対象: POST /api/login, POST /api/register, GET /api/albums, GET /api/albums/{album_id}, GET /api/albums/{album_id}/cover, GET /api/albums/{album_id}/songs, GET /api/songs, GET /api/songs/{song_id}/cover"
,(All Protected APIs),Request: X-Authorization: Bearer <token> header required,X-Authorization: Bearer <token> headerが必須
,(All Protected APIs),Returns 401 'Access Token is required' when X-Authorization header missing,X-Authorization headerが無い場合、401 'Access Token is required' を返す
,(All Protected APIs),Returns 401 'Invalid Access Token' for invalid/expired/non-existent token,無効・有効期限切れ・存在しないtokenの場合、401 'Invalid Access Token' を返す
,(All Protected APIs),Returns 403 'User is banned' when token owner is banned,tokenの所有者がbanされている場合、403 'User is banned' を返す
,(All Protected APIs),"Applies to: POST /api/logout, GET /api/songs/{song_id}, GET /api/statistics, GET /api/users, PUT /api/users/{user_id}, PUT /api/users/{user_id}/ban, PUT /api/users/{user_id}/unban, POST /api/albums, PUT /api/albums/{album_id}, DELETE /api/albums/{album_id}, POST /api/albums/{album_id}/songs, PUT /api/albums/{album_id}/songs/order, POST /api/albums/{album_id}/songs/{song_id}, DELETE /api/albums/{album_id}/songs/{song_id}","対象: POST /api/logout, GET /api/songs/{song_id}, GET /api/statistics, GET /api/users, PUT /api/users/{user_id}, PUT /api/users/{user_id}/ban, PUT /api/users/{user_id}/unban, POST /api/albums, PUT /api/albums/{album_id}, DELETE /api/albums/{album_id}, POST /api/albums/{album_id}/songs, PUT /api/albums/{album_id}/songs/order, POST /api/albums/{album_id}/songs/{song_id}, DELETE /api/albums/{album_id}/songs/{song_id}"
,(All Admin APIs),Returns 403 'Admin access required' when role != 'admin',roleが 'admin' でない場合、403 'Admin access required' を返す
,(All Admin APIs),"Applies to: GET /api/users, PUT /api/users/{user_id}, PUT /api/users/{user_id}/ban, PUT /api/users/{user_id}/unban, POST /api/albums, PUT /api/albums/{album_id}, DELETE /api/albums/{album_id}, POST /api/albums/{album_id}/songs, PUT /api/albums/{album_id}/songs/order, POST /api/albums/{album_id}/songs/{song_id}, DELETE /api/albums/{album_id}/songs/{song_id}","対象: GET /api/users, PUT /api/users/{user_id}, PUT /api/users/{user_id}/ban, PUT /api/users/{user_id}/unban, POST /api/albums, PUT /api/albums/{album_id}, DELETE /api/albums/{album_id}, POST /api/albums/{album_id}/songs, PUT /api/albums/{album_id}/songs/order, POST /api/albums/{album_id}/songs/{song_id}, DELETE /api/albums/{album_id}/songs/{song_id}"
,(Paginated APIs),"Applies to: GET /api/albums, GET /api/songs, GET /api/users","対象: GET /api/albums, GET /api/songs, GET /api/users"
,(Paginated APIs),Cursor-based pagination: default 10 records per page,cursorベースのpagination: デフォルトは1ページあたり10件
,(Paginated APIs),"next_cursor = Base64 encode of JSON {""id"":N} where N is last item's ID","next_cursor = JSON {""id"":N} のBase64エンコード（Nは最後のアイテムのID）"
,(Paginated APIs),next_cursor is null when no more data,データがもう無い場合、next_cursorはnull
,(Paginated APIs),prev_cursor included in meta,metaにprev_cursorを含む
,(Paginated APIs),limit parameter adjusts records per page,limitパラメータで1ページあたりの件数を調整可能
,(Paginated APIs),Returns 400 'Invalid parameter' when limit > 100 or not a number,limitが100超または数値でない場合、400 'Invalid parameter' を返す
,(Paginated APIs),Returns 400 'Invalid cursor' for malformed cursor,不正なcursorの場合、400 'Invalid cursor' を返す
,(Album owner APIs),Returns 403 'Access denied' when authenticated user is not the album's publisher,認証済みユーザーがアルバムのpublisherでない場合、403 'Access denied' を返す
,(Album owner APIs),"Applies to: PUT /api/albums/{album_id}, DELETE /api/albums/{album_id}, POST /api/albums/{album_id}/songs, PUT /api/albums/{album_id}/songs/order, POST /api/albums/{album_id}/songs/{song_id}, DELETE /api/albums/{album_id}/songs/{song_id}","対象: PUT /api/albums/{album_id}, DELETE /api/albums/{album_id}, POST /api/albums/{album_id}/songs, PUT /api/albums/{album_id}/songs/order, POST /api/albums/{album_id}/songs/{song_id}, DELETE /api/albums/{album_id}/songs/{song_id}"
,(User management APIs),Returns 404 'User not found' for non-existent user_id,存在しないuser_idの場合、404 'User not found' を返す
,(User management APIs),"Applies to: PUT /api/users/{user_id}, PUT /api/users/{user_id}/ban, PUT /api/users/{user_id}/unban","対象: PUT /api/users/{user_id}, PUT /api/users/{user_id}/ban, PUT /api/users/{user_id}/unban"
,(Album APIs with {album_id}),Returns 404 'Not Found' for non-existent album,存在しないアルバムの場合、404 'Not Found' を返す
,(Album APIs with {album_id}),"Applies to: GET /api/albums/{album_id}, GET /api/albums/{album_id}/cover, GET /api/albums/{album_id}/songs, PUT /api/albums/{album_id}, DELETE /api/albums/{album_id}, POST /api/albums/{album_id}/songs, PUT /api/albums/{album_id}/songs/order, POST /api/albums/{album_id}/songs/{song_id}, DELETE /api/albums/{album_id}/songs/{song_id}","対象: GET /api/albums/{album_id}, GET /api/albums/{album_id}/cover, GET /api/albums/{album_id}/songs, PUT /api/albums/{album_id}, DELETE /api/albums/{album_id}, POST /api/albums/{album_id}/songs, PUT /api/albums/{album_id}/songs/order, POST /api/albums/{album_id}/songs/{song_id}, DELETE /api/albums/{album_id}/songs/{song_id}"
,POST /api/login,Request: Content-Type application/json with username and password,リクエスト: Content-Type application/json、usernameとpasswordを含む
,POST /api/login,"Success 200: returns {success: true,  data: {token,  user}}","成功 200: {success: true, data: {token, user}} を返す"
,POST /api/login,token = MD5 hash of username as lowercase hex string,token = usernameのMD5ハッシュ（小文字の16進数文字列）
,POST /api/login,"Response user fields: id, username, email, role, created_at, updated_at","レスポンスのuserフィールド: id, username, email, role, created_at, updated_at"
