=SUM(L3:L78),,,,,,,,,,,,
サブ基準ID,サブ基準名称または説明,マーキング当日,アスペクトタイプ (M=測定/J=判定),アスペクト - 詳細,ジャッジスコア,追加アスペクトの説明（測定または判定）または判定スコアの説明（判定のみ）,必要条件(測定のみ）,WSOSセクション,計算行 (エクスポートのみ）,マックスマーク,基準B,合計マーク
,,,,,,,,,,,,23.50
B1,管理者,1,,,,,,,,,,
,,,M,管理者ログインページは/XX_module_b/loginにあります。,,,,5,1,0.25,,
,,,M,管理者は、ログインパスフレーズを使用してサインインできます。,,,,5,1,0.50,,
,,,M,URLに到達可能,,/XX_module_b/に空白ページやエラーページが表示されない。,,2,1,0.25,,
,,,M,実行ガイドを含むexpert_readme.txtというファイルが提供されます。,,ファイル名は大文字と小文字を区別しません。内容は問いません。,,2,1,0.25,,
B2,データベース,1,,,,,,,,,,
,,,M,DBダンプが提供され、FK制約と正しいカラムが含まれている。,,DB ダンプが提供されたが、FK 制約を正しく含んでいない場合、0.25 を与える。,,5,2,0.75,,
,,,M,ER図のスキーマを提供,,,,2,1,0.50,,
,,,M,GTINフィールドがproductsテーブルでインデックス化されている,,,,5,1,0.25,,
,,,J,データベースのカラムタイプが適切に定義されている,,,,5,,0.50,,
,,,,,0,すべての列で文字列型またはテキスト型を使用,,,,,,
,,,,,1,カラムは基本的に関連する型にある。しかし、int/floatの数値は操作に最適化されていない可能性がある。,,,,,,
,,,,,2,カラムは関連する型になります。例えば、int、float、text、boolean、JSON。そして適切な長さである。,,,,,,
,,,,,3,カラムは関連するタイプにある。そして、各タイプの長さはユースケースにマッチしている。ステータス・カラムは理解しやすく、維持しやすい。ストレートなカラム値、またはコメント付き。,,,,,,
,,,J,DB構造が正規化される,,,,5,,0.50,,
,,,,,0,正規化されておらず、冗長なデータ／フィールドが多い,,,,,,
,,,,,1,第二正規形で正規化,,,,,,
,,,,,2,第3正規形（部分）で正規化,,,,,,
,,,,,3,第3正規形（フル）で正規化,,,,,,
B3,企業（管理者）,1,,,,,,,,,,
,,,M,管理者は企業リストを見ることができる,,記載されている欄がある場合、欠落している項目1つにつき0.25を差し引く。無効となった会社を含む,,5,2,0.50,,
,,,M,管理者は、企業リストをクリックした後、特定の企業を表示することができます。,,,,5,1,0.25,,
,,,M,管理者は、会社の表示ページで特定の会社の関連製品を表示することができます。,,,,5,1,0.50,,
,,,M,管理者は会社を設立できる,,,,5,1,0.50,,
,,,M,管理者は企業情報を更新できる,,,,5,1,0.50,,
,,,M,管理者は会社を非アクティブにすることができます。,,,,5,1,0.50,,
,,,M,企業のすべてのフィールドが作成可能,,エラー1回につき0.25を差し引く。,,5,2,0.50,,
,,,M,企業が非アクティブ化されると、関連する製品はすべて非表示になります。,,,,5,1,0.50,,
,,,M,活動を停止した企業をリストアップするための分離されたリストがあります。,,,,5,1,0.25,,
,,,M,誰もウェブ・インターフェイス上で会社を削除することはできない。,,会社が無効化されても、会社を削除することはできません。,,5,1,0.25,,
B4,商品CRUD（管理者）,1,,,,,,,,,,
,,,M,XX_module_b/products経由でページに商品を表示できる。,,DBと一致するかどうかをチェックする必要はない。,,5,1,0.25,,
,,,M,表示された商品はデータベースからダイナミックにロードされます。,,,,5,1,0.50,,
,,,M,特定の製品は、管理者だけがウェブページで見ることができます /XX_module_b/products/GTIN,,管理者のみ。URLフォーマットが正しくない場合は0.25を差し引きます。,,5,2,0.50,,
,,,M,管理者が商品を非表示にすることができます。,,,,5,1,0.50,,
,,,M,隠された製品は永久に削除することができます,,すでに非表示になっている商品のみ操作可能です。削除可能な商品がある場合は0.25を差し引きます。,,5,3,0.75,,
,,,M,products/newのURLにアクセスすると、商品作成フォームが表示されます。,,,,5,1,0.25,,
,,,M,新規作成した製品をデータベースに保存できる,,,,5,1,0.50,,
,,,M,製品管理機能は、管理者ログイン後にのみ表示および操作可能です。,,,,5,1,0.25,,
,,,M,ログインせずに製品管理機能にアクセスすると、401エラーが発生します。,,,,5,1,0.50,,
,,,M,製品には英語とフランス語の2ヶ国語のインフォメーションがある,,名前、説明フィールド,,5,1,0.50,,
,,,M,フォームの送信では、GTIN が 13 または 14 の長さであるかどうかをチェックします。,,サーバーサイドのフォーム検証,,5,1,0.50,,
,,,M,管理者が画像をアップロードできる,,,,5,1,1.00,,
,,,M,管理者は画像を変更できる,,,,5,1,1.00,,
,,,M,管理者はアップロードされた画像を削除することができます。,,,,5,1,0.50,,
,,,M,画像がアップロードされていない場合、デフォルトのプレースホルダー画像があります。,,,,5,1,0.25,,
B5,製品API,1,,,,,,,,,,
,,,M,products API の出力には、JSON をリストすることができます。,,GET /XX_module_b/products.json,,5,1,0.25,,
,,,M,製品リストAPIは正しい,,商品とデータのすべての欄が正しい。エラー1件につき0.25を差し引く,,5,2,1.00,,
,,,M,製品リストAPIのページネーションは正しい,,ページネーションの列はすべて正しい。エラー1件につき0.25を差し引く,,5,2,0.50,,
,,,M,単一の製品をJSONで照会することができます。,,GET /XX_module_b/products/GTIN.json,,5,1,0.25,,
,,,M,単品フィールドは、テストプロジェクトに従って正しい。,,エラー1回につき0.25ドル差し引く,,5,2,0.75,,
,,,M,存在しない製品にアクセスすると、製品APIが404を返す,,GET /XX_module_b/products/GTIN.json そのGTINは存在しません。,,5,1,0.50,,
,,,M,非表示の製品にアクセスすると、製品APIが404を返す,,その製品が非表示とマークされている場合、GET /XX_module_b/products/GTIN.json,,5,1,0.50,,
